,date,text,user_followers,user_favourites,Compound,Open,Close,Volume
0,2021-04-07,"when supply is more than demand, what happens?   💸💵📉 

 bitcoin is the best way to hedge against this fiat/dollar… ",147300.0,16909.0,0.5302,58186.507813,56048.9375,75645303584
1,2021-04-06,time to step up your crypto game with gk! check this out tomorrow as we make ria history! launching the first indiv… ,142460.0,68708.0,0.0,59171.93359400001,58192.359375,66058027988
2,2021-04-06,we believe that businesses built on  bitcoin should also mine to support the network’s security.  blockstreammining… ,139926.0,13256.0,0.6249,59171.93359400001,58192.359375,66058027988
3,2021-04-05,jpmorgan has revised its  bitcoin price target to  130k. the bank says  btc has become more appealing to institutio… ,978164.0,10105.0,0.0,58760.875,59057.87890599999,60706272115
4,2021-04-05,"host of ,  joins  for a look at everything from the philosophical &amp;… ",224316.0,13691.0,0.0,58760.875,59057.87890599999,60706272115
5,2021-04-24,"bitcoin has fallen over 19% in the past week below  50,000 from its highs after coinbase went public earlier this month.

will investors look to buy the dip in bitcoin and other cryptocurrencies?
 btc  bitcoin  ethereum  crypto  cryptocurrency  doge ",777224.0,10339.0,-0.3612,51143.226563,50050.867188,49014494781
6,2021-04-24,bitcoin attack: can bitcoin be taken down now with just 7 billion dollars? breaking  bitcoin [2021]   btc ,581890.0,13494.0,-0.4767,51143.226563,50050.867188,49014494781
7,2021-04-23,"dow futures turn lower, bitcoin below  50,000 on biden tax hike concerns


 bitcoin  btc",777224.0,10339.0,-0.296,51739.808594,51093.652344,86668667320
8,2021-04-22,"when institutions want you to sell your  bitcoin to them, they share "" bearish"" news/opinions.

always ""keep calm &amp;  hodl ftw!""

remember, there's literally only ever going to be 21-mil  btc in total.  limited

    crypto",148618.0,16986.0,0.7095,53857.10546900001,51762.273438,74798630778
9,2021-04-22,"the most recent time eth outperformed  btc like this was in january after  bitcoin had put in an interim top ... it then dropped in relative value by 33%

the last *two* times eth fans dared  talk about 'flippening' btc, eth went on to lose &gt;80% in relative value vs bitcoin",86685.0,7017.0,0.6597,53857.10546900001,51762.273438,74798630778
10,2021-04-22,"that theory that  ethereum is the better long term investment than  bitcoin is backing those folks right now as  btc consolidates  quicksand style, meanwhile  eth is flexing better than all  altcoins. ",96926.0,33651.0,0.7096,53857.10546900001,51762.273438,74798630778
11,2021-04-21,"jackson tennessee's mayor pushing to adopt  bitcoin. the city is exploring mining  btc and keeping it on its balance sheet.
",777227.0,10339.0,0.1779,56471.12890599999,53906.08984400001,54926612466
12,2021-04-21,"""wework will accept  bitcoin ( btc),  ethereum ( eth), usd coin (usdc), paxos (pax), and several other cryptocurrencies as payment for its offerings,"" the softbank-backed company says. ",1053661.0,10096.0,0.3818,56471.12890599999,53906.08984400001,54926612466
13,2021-04-20,"coinbase’s number of monthly transacting users has skyrocketed to over 6m. its customers held  223bn in accounts, more than a tenth of the total value of cryptocurrencies   bitcoin  btc ",252557.0,22831.0,0.4576,55681.79296900001,56473.03125,67849323955
14,2021-04-19,"""the call"" recap | financials analyst josh steiner on crypto &amp;  ma  via   bitcoin  btc",197470.0,18271.0,0.0,56191.585938,55724.265625,65344865159
15,2021-04-19,"remember last year when it felt like  bitcoin was stuck at  10k for eternity?

the spring is coiling up. the longer we consolidate, the bigger the explosion will be. 📈💥🚀

just be patient &amp; let those weak-hands keep selling to strong-hands.

 bear  bearish  bull  bullish  btc ",148624.0,16986.0,-0.25,56191.585938,55724.265625,65344865159
16,2021-04-19,"despite the majority of fund managers surveyed seeing  bitcoin as a bubble, about 10% said they think  btc will outperform in 2021.  boa  cryptocurrency ",1053758.0,10096.0,0.0,56191.585938,55724.265625,65344865159
17,2021-04-18,"the  coin direct list played perfectly into the old adage, buy rumor, sell news. i'm sure neither of us can fault brian   for taking some chips off the table.  bitcoin  btc ",260339.0,12669.0,0.7351,60701.88671900001,56216.18359400001,97468872758
18,2021-05-29,"buy the dip 😀... and dip 🙂... and dip 😐.. and dip ... and di 🙄... and d 🤔... 

meanwhile there's a party at the 🐳whales' house🐳

 bitcoin  btc  cryptocurrency  cryptocurrencynews   btcnews  bitcoinnews  hold  holders  whalealert  wales  etherum  ether  eth  nft",94387.0,13850.0,0.785,35684.15625,34616.066406,45231013335
19,2021-05-29,"icymi

🇸🇬  singapore sovereign wealth fund  temasek has been buying  bitcoin since 2018

is your country missing out?

time to speak out as a citizen for your own country  federalreserve to review  btc asap 💪

    crypto  cbdc ",148911.0,17099.0,0.25,35684.15625,34616.066406,45231013335
20,2021-05-29,what’s going on with  btc  bitcoin  crypto ??? madness,294151.0,117122.0,-0.533,35684.15625,34616.066406,45231013335
21,2021-05-28,"whales 🐳🐳🐳🐳🐳 at party...
 bitcoin  whalealert  whales  btc  crypto  cryptocurrency  cryptocurrencies  ethereum",94387.0,13850.0,0.4019,38507.082031,35697.605469,55200191952
22,2021-05-28,the question is why do whales 🐳 keep pushing  bitcoin 's low price? my theory is that they also want some altcoins and especially ethereum which has remained steady and does not fall in prices that was at the beginning of the year so they insist what do you guys think?  eth  btc,94387.0,13850.0,-0.2869,38507.082031,35697.605469,55200191952
23,2021-05-28,"it's true but in the cryptocurrency market today there are many whales 🐳🐳🐳 making the party by manipulating prices and holding the value of  bitcoin when they stop, go to the  moon !
 btc 🚀  whales  whale  crypto  cryptocurrency  cryptocurrencies  ethereum  ethereum  hodl",94387.0,13850.0,0.4199,38507.082031,35697.605469,55200191952
24,2021-05-28,"all of this is just a whale 🐳🐳🐳 party my friend.

 bitcoin  btc  cryptonews  cryptotrading  whalealert  whales  whale  eth   ethereum  crypto",94387.0,13850.0,0.7096,38507.082031,35697.605469,55200191952
